"uriAudiencia","codigoAudiencia","observaciones","descripcion","materia","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0064233601","ad0064233601","postulacion al casino de soldados acceso a dependecias acceso a visita al casino de soldados acceso a las bases de postulacion 2019 para casino de soldados acceso a valores, precios actuales del casino se entregara una pequeña degustacion gastronomica","Jefatura Administrativa y Logística del Campo Militar Austral, Ojo Bueno, Punta Arenas","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0224239851","ad0224239851","Concesiones Marítimas para Proyecto Minero de Hierro Innovador y a la vez Ecológico. Es importante dejar claro, que no existe registro en Chile de proyecto de estas características, jamas se ha realizado y tiene grandes ventajas sobre la minería tradicional. Es un proyecto 100% ecológico. ****************************************************************************************************** Atendio por videoconferencia Ronaldo DIaz, se solicito informacion de Proyecto de CCMM.","Alameda N° 1170, piso 6, Departamento de Asuntos Marítimos.","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0224239881","ad0224239881","Estimados Buen día, De acuerdo a lo conversado con el Sr. Ronaldo Díaz, se solicita reunión de seguimiento y revisión de estado de las solicitudes de Concesión Marítima Mayor SIABC 44980 CAP Valparaiso y 45269 CAP Arica. Agradeciendo de antemano. Se despide cordialmente. Manuel Zaldívar. **************************************************************************************************** Atiende videoconferencia Ronaldo Diaz, y se informa estado de tramitación.","https://us04web.zoom.us/j/78643267429?pwd=Sm0xVXNGYmJ1a3Q2Z2w4L0RmaG5GUT09 ID de reunión: 786 4326 7429 Contraseña: 9bUKfJ","Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/ae0044232231","ae0044232231","Entendemos que requieren conocer las Herramientas ""Wave"" de Saville Assessment que se están utilizando en la Superintendencia de Electricidad y Combustible en procesos de selección y desarrollo de talento por lo tanto, como representantes oficiales de la misma, nos gustaría presentarles el detalle de su uso y ventajas.","Morandé 115 piso 9","Celebración, modificación o terminación a cualquier título, de contratos que realicen los sujetos pasivos y que sean necesarios para su funcionamiento. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/ae0064227391","ae0064227391","Reorganización de empresas.","Teatinos 120, quinto piso, Departamento de Impuestos Directos de la Subdirección Normativa.","Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0014231751","aj0014231751","Solicitud de la Sostenedora del Colegio Diferencial Colibrí de Arica: -Dificultades con la obtención de certificado de recepción definitiva. -Tener flexibilidad a la solicitud de curso extemporáneo de primero básico. Acuerdo de la Autoridad: -Seremi de Educación se compromete en aplicar la normativa vigente. -Autoridad informa a la Sostenedora la posibilidad de solicitar prórroga de plazo al Subsecretario de Educación. En virtud de la facultad exclusiva que posee y que se encuentra tratada en el artículo 24 bis del decreto 315/2010.","oficina Seremi","Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/ak0014229781","ak0014229781","Mi hijo se encuentra recluido en la carcel de Huachalalume con una condena de 9 meses , solicito audiencia ya que el se encuentra enfermo padece una enfermedad cardiaca severa crónica.","Despacho Seremi de Justicia y DDHH","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/al0074232801","al0074232801","Impulsar el uso de MOOC para capacitar masivamente a los trabajadores en habilidades y competencias del siglo 21.","Estimados, la reunión la sostendrá la Sra. Paula Oyarce, Jefa (s) del Depto de Capacitación a personas. La modalidad que recomienda ella es vía team, espero que ustedes puedan accedan por esa vía.","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aq0014229461","aq0014229461","uso de imuebles fiscales para fines comercial y social","CALLE ATACAMA NR.810","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aq0014237851","aq0014237851","El porque se incorporo parte de la colonia rupanco al parque Vicente Perez Rosales, bajo que argumento se hizo. El Seremi de Bienes Nacionales, atendió audiencia Lobby a Don Sebastián Segovia Gonzalez y otro, quién consulta sobre incorporación de la Colonia Rupanco al Parque Vicente Pérez Rosales, bajo que argumento se hizo. Presento algunos planos, de los cuales el Seremi, revisara con la Unidad de Catastro. Paralelamente se organizo un reunión con el Jefe Provincial de Bines Nacionales Osorno para poder reunir más antecedentes ya que corresponde a la Provincia de Osorno.","Seremi Bienes Nacionales","Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aq0014237871","aq0014237871","pedir una rebaja al arriendo de un puesto de artesanía la cual pertenece a la Asociación de Discapacitados que se encuentra en calle del Salvador lado del casino de Puerto Varas. ya que ese espacio pertenece a bienes nacionales y hasta hace un tiempo esta llegando un cobro de arriendo. No se presento a la Audiencia.","Seremi de Bienes Nacionales Región de Los Lagos Avda. Décima Región N° 480 - Puerto Montt","Elaboración, tramitación, aprobación, modificación, derogación o rechazo de acuerdos, declaraciones o decisiones del Congreso Nacional o sus miembros incluidas sus comisiones. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aq0014240011","aq0014240011","Solicito audiencia con la Seremi para presentar postulación a proyecto de energía distrital de ciudades (ONU) y consultar por disponibilidad de terreno en la isla cautín para postulación. Audiencia se realiza por videoconferencia.. Participa Seremi de Medio Ambiente, don Anselmo Rapimán","Prat 535","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/as0014240731","as0014240731","Se solicita videoconferencia para dar a conocer proyecto minero, ubicado en la Región de Atacama","Videoconferencia","Ninguna de las anteriores. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/mu1864233721","mu1864233721","No se lleva acabo audiencia.","videoconferencia zoom","Celebración, modificación o terminación a cualquier título, de contratos que realicen los sujetos pasivos y que sean necesarios para su funcionamiento. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/mu2574231391","mu2574231391","Sobre situación de su madre Julia Maldonado Maldonado , quien se trata en el Hospital Félix Bulnes.","Oficina Alcaldesa.","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/mu3164236141","mu3164236141","Empresa Cicloverde Ltda.","Municipalidad de Teno","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0014230661","ab0014230661","Soy del grupo Copesa y me gustaría hablar con las personas a cargo del sitio SIAC. Me gustaría poder apoyarlos y ofrecerles nuestros servicios para poder educar e informar a los usuarios sobre realizar y buscar las soluciones a los problemas que ha traído esta pandemia a través de la oficina virtual del Sistema Integral de Atención Ciudadana sin salir de Casa. Estos días estamos recibiendo a más de 15MM de visitas a las plataformas y creemos que podemos ser de grana ayuda.","muchas gracias por tu solicitud,enviaremos link a tu correo con agenda de video","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2020,2
