Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Total y Rango etario;Nº Mujeres;% Mujeres;Nº Hombres;% Hombres;Total
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Total Militantes;581;53,7;502;46,4;1.083
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;14 a 17 años;0;0;0;0;0
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;18 a 19 años;30;2,8;7;0,6;37
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;20 a 24 años;17;1,6;28;2,6;45
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;25 a 29 años;28;2,6;48;4,4;76
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;30 a 34 años;48;4,4;46;4,2;94
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;35 a 39 años;80;7,4;55;5,1;135
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;40 a 44 años;113;10,4;74;6,8;187
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;45 a 49 años;98;9,0;48;4,4;146
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;50 a 54 años;43;4,0;58;5,4;101
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;55 a 59 años;23;2,1;50;4,6;73
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;60 a 64 años;54;5,0;40;3,7;94
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;65 a 69 años;16;1,5;17;1,6;33
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;70 a 74 años;20;1,8;6;0,6;26
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;75 a 79 años;6;0,6;15;1,4;21
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;80 a más años;5;0,5;10;0,9;15
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Total Adherentes;958;58,15;690;41,85;1.648
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;14 a 17 años;186;63;109;37;295
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;18 a 19 años;562;56,8;428;43,2;990
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;20 a 24 años;203;57,5;150;42,5;353
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;25 a 29 años;5;72;2;28;7
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;30 a 34 años;2;67;1;33;3
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;35 a 39 años;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;40 a 44 años;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;45 a 49 años;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;50 a 54 años;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;55 a 59 años;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;60 a 64 años;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;65 a 69 años;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;70 a 74 años;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;75 a 79 años;0;0;0;0;0
