Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Requisitos de Afiliación;Procedimientos de afiliación;Link mayor información;Número total de afiliados
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito 4. No poseer deudas con el fisco;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Asistir con su carnet de identidad a nuestra sede en su Región 2. Completar la solicitud de Ingreso 3. Una vez que el solicitante haya suscrito la solicitud de ingreso, ésta se mantendrá en suspenso por el lapso de un año ininterrumpido;https://www.miras.cl;1.083
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algÏn delito;Articulo Primero: Son afiliados del partido los ciudadanos inscritos en los registros electorales, que compartan su declaraciÑn de principios y que expresen su voluntad de incorporarse a los registros del partido, en la forma que seÐala el artÕculo siguiente.- ArtÕculo Segundo: Para afiliarse, el interesado deberà suscribir una solicitud de afiliaciÑn, cuya forma determinarà un reglamento interno, debiendo presentarla al secretario de la Directiva Regional correspondiente a su inscripciÑn electoral. La Directiva Regional, dentro de los treinta dÕas siguientes, se pronunciarà, aceptàndola o rechazàndola por simple mayorÕa de los miembros que se encuentren presentes, sin expresar causa. En contra deesta resoluciÑn no cabrà recurso alguno.;http://pcchile.cl/documentos/formulario_afiliacion_v2019.pdf;86.231
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Para desafiliarse se podra realizar por via presencial ante el Servicio Electoral, mediante carta de renuncia, via web en la pagina del Servel o mediante carta renuncia dirigida al Presidente del Partido.;N/A;http://www.pcchile.cl/documentos/carta_renuncia_v2019.pdf;86.231
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Articulo tercero transitorio. Los militantes que quedaron suspendidos de sus derechos de afiliado al partido por efecto de lo dispuesto en el articulo segundo transitorio de la Ley Numero veinte mil novecientos, podrian solicitar la recuperacion de todos sus derechos mediante carta simple presentada al Presidente y al Secretario General del Partido, quienes la aprobarian sin mas tramite y la informaron al Servicio Electoral dentro de los treinta dias siguientes, salvo que el solicitante haya incurrido en alguna inhabilidad legal para pertenecer a partidos politicos, caso en el cual debera informarsele para los fines que correspondan. La recuperacion de los derechos del afiliado surtira efectos desde que sea informada al Servicio Electoral por el partido. El militante que haya recuperado sus derechos de afiliado conforme con lo dispuesto en este articulo mantendra la fecha original de su afiliacion al partido y se entendera que ha mantenido una militancia ininterrumpida para todos los efectos previstos por el presente estatuto.;N/A;http://www.pcchile.cl/documentos/recuperacion_derechos_militantes_v2019.pdf;86.231
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Son MILITANTES DE LA DEMOCRACIA CRISTIANA aquellos ciudadanos y ciudadanas que, cumpliendo los requisitos legales señalados en el artículo 18 de la ley 18.603, presenten además su solicitud de ingreso al Partido ante la Secretaría Nacional o ante el Secretario Regional, la que deberá contener lo siguiente a) Acreditación del cumplimiento del requisito de formación doctrinaria. b) Constancia de haber prestado juramento solemne de incorporación al Partido Demócrata Cristiano. c) Declaración jurada de no encontrarse condenado ni formalizado por delitos contra la probidad y la fe pública. d) El patrocinio de dos personas con más de dos años de militancia en el Partido.;La Directiva Nacional elaborará la ficha de solicitud de ingreso al Partido, las especificaciones técnicas para presentar los documentos requeridos y determinará los planes y programas partidarios y de entidades para partidarias que den cumplimiento al requisito mencionado en la letra a) así como la forma de acreditar el juramento mencionado en la letra b). La Secretaría Nacional o Regional deberá entregar duplicado al solicitante, donde conste la fecha de recepción. La Secretaría Nacional o regional, dependiendo cual haya recibido la solicitud, podrá rechazarla por no cumplir con alguno de los requisitos, conforme las reglas del artículo 18 bis de la ley 18.603. Las solicitudes aceptadas por las secretarías regionales deberán ser informadas por el medio más expedito a la Secretaría Nacional, adjuntando los documentos correspondientes, para efectos de su comunicación al SERVEL por parte de la Directiva Nacional, según el artículo 20 de la ley 18.603. El retraso o incumplimiento en estas formalidades podrá ser motivo de sanción disciplinaria. Desde la incorporación al registro de militantes del Partido a cargo de del SERVEL, se gozará de los derechos y se tendrá los deberes que este Estatuto consagra.;http://pdc.cl/wp-content/uploads/2018/06/REQUISITOS-ESTABLECIDO-PARA-AFILIACION-Y-DESAFILIACION-PARTIDO-POLITICO-LEY-PDC.pdf;111.332
PP010;Partido Ecologista Verde (PEV);2019;Ene-Mar;Para incorporarse a nuestra colectividad, debe cumplir con los siguientes requisitos:Son afiliados del Partido Ecologista Verde las ciudadanos y los ciudadanos inscritos en los Registros Electorales que hayan suscrito la solicitud de afiliación y se encuentren incorporados al duplicado del Registro de Afiliados. .;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se contrare constituida, ante la Directiva Provincial. En el subsidio de las anteriores, se hará ante el Secretario General de la Directiva Nacional que será responsable del duplicado del Registro de Afiliados.;http://www.ecologistas.cl/organica/afiliados/;55.670
PP010;Partido Ecologista Verde (PEV);2018;Ene-Mar;Para incorporarse a nuestra colectividad, debe cumplir con los siguientes requisitos:Son afiliados al Partido Ecologista Verde los ciudadanos mayores de dieciocho años, inscritos en los registros electorales que adhieren a la declaración de principios y programa, que aceptan y se rigen por su estatuto y que forman parte de su registro conforme a la ley.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: La solicitud de afiliación al Partido Ecologista Verde debe ser conocida y aceptada por el Consejo Regional que corresponda la comuna de sus inscripción electoral remitida a la Secretaría General del Partido.;http://www.ecologistas.cl/organica/afiliados/;53.123
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Para incorporarse a nuestra colectividad, debe cumplir con los siguientes requisitos:Son afiliados al Partido Ecologista Verde los ciudadanos Mayores de dieciocho años, inscritos en los registros electorales que adhieren a la declaración de principios y programa, que aceptan y se rigen por su estatuto y que forman parte de su registro conforme a la ley.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos:El simpatizante se contactará con miembros de la directiva y consejo regional para conocer al equipo y sumarse a las actividades locales. Una vez confirmado su interés en participar, llenará y firmará la ficha de solicitud de afiliación ante el presidente y secretario regional. El presidente y secretario regional aprobarán la afiliación al firmar y enviar mediante correo físico la ficha original (se quedarán con una copia física) a O´Higgins 1104, Concepción. El presidente y secretario nacional firmarán y timbrarán la ficha, para luego comunicar al SERVEL e ingresar al nuevo afiliado en el registro nacional de afiliados. El secretario se quedará con una copia del documento original.;http://www.ecologistas.cl/organica/afiliados/;41.654
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;Para incorporarse a nuestra colectividad, debe cumplir con los siguientes requisitos:Son afiliados del Partido Ecologista Verde las ciudadanos y los ciudadanos inscritos en los Registros Electorales que hayan suscrito la solicitud de afiliación y se encuentren incorporados al duplicado del Registro de Afiliados. .;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se contrare constituida, ante la Directiva Provincial. En el subsidio de las anteriores, se hará ante el Secretario General de la Directiva Nacional que será responsable del duplicado del Registro de Afiliados.;http://www.ecologistas.cl/organica/afiliados/;56.000
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Para incorporarse a nuestra colectividad, debe cumplir con los siguientes requisitos:Son afiliados al Partido Ecologista Verde los ciudadanos mayores de dieciocho años, inscritos en los registros electorales que adhieren a la declaración de principios y programa, que aceptan y se rigen por su estatuto y que forman parte de su registro conforme a la ley.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos:El simpatizante se contactará con miembros de la directiva y consejo regional para conocer al equipo y sumarse a las actividades locales. Una vez confirmado su interés en participar, llenará y firmará la ficha de solicitud de afiliación ante el presidente y secretario regional. El presidente y secretario regional aprobarán la afiliación al firmar y enviar mediante correo físico la ficha original (se quedarán con una copia física) a O´Higgins 1104, Concepción. El presidente y secretario nacional firmarán y timbrarán la ficha, para luego comunicar al SERVEL e ingresar al nuevo afiliado en el registro nacional de afiliados. El secretario se quedará con una copia del documento original.;http://www.ecologistas.cl/organica/afiliados/;54.850
