idcaso;IDInstitucion,;Institucion
1;995c3745-a109-e211-b576-00155d01e500;"INTENDENCIA REGIÓN DE LOS LAGOS"
2;f1573745-a109-e211-b576-00155d01e500;"DIRECCIÓN NACIONAL DEL SERVICIO CIVIL"
3;03583745-a109-e211-b576-00155d01e500;"JUNTA NACIONAL DE JARDINES INFANTILES (JUNJI)"
4;175c3745-a109-e211-b576-00155d01e500;"EMPRESA DE FERROCARRILES DEL ESTADO (EFE)"
5;4f5c3745-a109-e211-b576-00155d01e500;"N/A"
6;ed5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE VALPARAÍSO"
7;135b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE PITRUFQUÉN"
8;f3573745-a109-e211-b576-00155d01e500;"DIRECCIÓN DE COMPRAS Y CONTRATACIÓN PÚBLICA"
9;37593745-a109-e211-b576-00155d01e500;"SUBSECRETARÍA DE TELECOMUNICACIONES"
10;91573745-a109-e211-b576-00155d01e500;"MINISTERIO DE VIVIENDA Y URBANISMO"
11;99573745-a109-e211-b576-00155d01e500;"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA"
12;9b5e3745-a109-e211-b576-00155d01e500;"COMISIÓN NACIONAL DEL MEDIO AMBIENTE REGIÓN METROPOLITANA DE SANTIAGO"
13;5b5c3745-a109-e211-b576-00155d01e500;"TRIBUNAL DE FAMILIA DE PUNTA ARENAS"
14;b5583745-a109-e211-b576-00155d01e500;"INSTITUTO DE PREVISIÓN SOCIAL (IPS)"
15;d3593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE CONCHALÍ"
16;8f583745-a109-e211-b576-00155d01e500;"SERVICIO AGRÍCOLA Y GANADERO (SAG)"
17;ff583745-a109-e211-b576-00155d01e500;"SERVICIO DE SALUD METROPOLITANO ORIENTE"
18;b75e3745-a109-e211-b576-00155d01e500;"DIRECCIÓN DEL TRABAJO REGIÓN DE VALPARAÍSO"
19;d3573745-a109-e211-b576-00155d01e500;"INSTITUTO NACIONAL DE ESTADÍSTICAS (INE)"
20;87573745-a109-e211-b576-00155d01e500;"MINISTERIO DE AGRICULTURA"
21;77573745-a109-e211-b576-00155d01e500;"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA"
22;7b573745-a109-e211-b576-00155d01e500;"MINISTERIO DE ECONOMÍA, FOMENTO Y TURISMO"
23;7d573745-a109-e211-b576-00155d01e500;"MINISTERIO DE HACIENDA"
24;8f573745-a109-e211-b576-00155d01e500;"MINISTERIO DE MINERÍA"
25;89573745-a109-e211-b576-00155d01e500;"MINISTERIO DE BIENES NACIONALES"
26;81573745-a109-e211-b576-00155d01e500;"MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS"
27;9f573745-a109-e211-b576-00155d01e500;"SUBSECRETARIA DE LAS CULTURAS Y LAS ARTES"
28;bd5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE SANTIAGO"
29;f1573745-a109-e211-b576-00155d01e500;"DIRECCIÓN NACIONAL DEL SERVICIO CIVIL"
30;8d573745-a109-e211-b576-00155d01e500;"MINISTERIO DE SALUD"
31;b1583745-a109-e211-b576-00155d01e500;"SUPERINTENDENCIA DE SEGURIDAD SOCIAL"
32;95573745-a109-e211-b576-00155d01e500;"MINISTERIO SECRETARÍA GENERAL DE GOBIERNO"
33;89573745-a109-e211-b576-00155d01e500;"MINISTERIO DE BIENES NACIONALES"
34;fd5d3745-a109-e211-b576-00155d01e500;"SEREMI DE SALUD REGIÓN DE AYSÉN"
35;f1573745-a109-e211-b576-00155d01e500;"DIRECCIÓN NACIONAL DEL SERVICIO CIVIL"
36;65583745-a109-e211-b576-00155d01e500;"CAJA DE PREVISIÓN DE LA DEFENSA NACIONAL (CAPREDENA)"
