Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Unidades u órganos internos;Facultades, funciones y atribuciones
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Directiva Central;A la Directiva Central le corresponderá dirigir y ejecutar la política y estrategia del partido de conformidad a los acuerdos y curso de acciones aprobados por el Consejo General cumplir y hacer cumplir dichos acuerdos, y, en general, coordinar y dirigir la labor del partido en todos sus ámbitos, con todaslas facultades necesarias para el logro de sus propósitos. La Directiva Central se reunirá, a lo menos, dos veces semestralmente. Podrá reunirse de manera extraordinaria a propuesta del Presidente, o de la mayoría absoluta del Consejo General. Sesionará con la mayoría absoluta de sus miembros, pudiendo adoptar acuerdos por la mayoría simple. En caso de empate dirimirá el Presidente. En cumplimiento de sus funciones, la Directiva Central deberá observar las facultades y obligaciones contempladas en el artículo veinticinco de la Ley número 18.603, Orgánica Constitucional de los Partidos Políticos, a saber: a) dirigir el partido en conformidad con sus estatutos, su programa y las orientaciones que imparta el Consejo General b) administrar los bienes del partido, rindiendo cuenta anual al Consejo General, y c) someter a la aprobación del Consejo General el programa y los reglamentos internos del partido. En ningún caso podrá ejercer o arrogarse funciones que la ley otorga privativamente al Consejo General
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Tribunal Supremo;Son atribuciones del Tribunal Supremo: a) interpretar los estatutos y reglamentos b) conocer de las cuestiones de competencia que se susciten entre autoridades u organismos del partido c) conocer de las reclamaciones que se entablen contra actos de autoridades u organismos del partido que sean estimados violatorios de la declaración de principios o de los estatutos, y adoptar las medidas necesarias para corregirlos y enmendar sus resultados d) conocer de las denuncias que se formulen contra afiliados al partido, sean o no autoridades de él, por actos de indisciplina o violatorios de la declaración de principios o de los estatutos, o por conductas indebidas que comprometan los intereses o el prestigio del partido, y aplicar las medidas disciplinariasque los estatutos señalen, contemplando las disposiciones que hagan efectivo un debido proceso, y e) controlar el correcto desarrollo de las elecciones y votaciones partidistas y dictar las instrucciones generales o particulares que para tal efecto corresponda.
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Consejo Regional;Es función primordial del Consejo Regional elegir a los miembros del Consejo General según lo prescrito en el título De las elecciones, junto con las demás que le fije este estatuto. El Consejo Regional se deberá reunir, a lo menos, una vez semestralmente, por citación que efectuará su Presidente con a lo menos una semana de anticipación.Sesionará con la mayoría absoluta de sus miembros, y sus acuerdos se aprobarán por la simple mayoría, salvo en lo relativo a las elecciones del Consejo General, en cuyo caso se estará a lo que establece el título De las elecciones de los Estatutos del Partido.
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Consejo General;Son funciones del Consejo General: a) designar a los miembros del Tribunal Supremo b) impartir orientaciones al presidente y tomar acuerdossobre cualquier aspecto de la marcha del partido c) aprobar o rechazar el balance d) proponer a los afiliados las modificaciones a la declaración de principios, la reforma de estatutos, la disolución del partido, la fusión con otro, la aprobación de un pacto electoral en elecciones de Parlamentarios o su retiro del mismo, y la persona del candidato a la presidencia de la República, proclamándola oportunamente como tal e) aprobar o rechazar las proposiciones que se efectúen para la designación de candidaturas a Diputado o Senador, según el artículo 31 de la Ley 18.603Orgánica Constitucional de los Partidos Políticos, y f) requerir del presidente del partido que convoque a los afiliados a pronunciarse de acuerdo con el artículo 29 de la Ley 18.603, Orgánica Constitucional de los Partidos Políticos.El Consejo General se deberá reunir, a lo menos, una vez semestralmente, por citación que efectuará su Presidente con a lo menos una semana de anticipación. Deberá reunirse cuando así lo exijan 3 miembros del Consejo General.Sesionará con la mayoría absoluta de sus miembros, y sus acuerdos se aprobarán por la simple mayoría
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Consejo General;Serán atribuciones del Consejo General, las siguientes: a) Designar a los miembros del Tribunal Supremo y de la Directiva Central b) impartir orientaciones al Presidente, a la Directiva Central y demás órganos del partido y tomar acuerdos sobre cualquier aspecto de la vida del partido c) aprobar o rechazar el balance d) proponer a los afiliados las modificaciones de la declaración de principios, la reforma de estatutos, la disolución del partido, su fusión con otro, la aprobación de un pacto electoral en elecciones de parlamentarios o su retiro del mismo y la persona del candidato a la presidencia de la República, proclamándola oportunamente como tal e) resolver sobre la designación o el apoyo de candidatos a diputados y/o senadores propuestos por los Consejos Regionales f) requerir al presidente del partido que convoque a los afiliados a pronunciarse respecto de las materias de que trata la letra d) de este mismo artículo g) todas las demás que sean necesarias para la buena marcha del partido y que no correspondan a otros organismos de acuerdo con la ley y estos mismos estatutos. Conforme dispone el artículo primero transitorio de los estatutos del Partido, contenidos en escritura pública de fecha tres de septiembre de 2018 y su rectificación de 22 de noviembre del mismo año, la Directiva Central, el Consejo General, las Directivas Regionales, los Consejos Regionales y el Tribunal Supremo del Partido continuarán ejerciendo sus funciones y atribuciones hasta el año 2020, momento en el que se procederá a elegir los nuevos órganos directivos que establece el estatuto ya señalado. Conforme con lo anterior, en este portal se informan los órganos actualmente en funciones, según las normas estatutarias citadas.
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Tribunal Supremo;Sus funciones serán: a) Interpretar los estatutos y reglamentos internos del partido b) conocer y resolver las cuestiones de competencia que se susciten entre las autoridades u órganos del partido c) conocer las reclamaciones que se entablen contra autoridades u órganos del partido por acciones u omisiones estimadas violatorias de la declaración de principios o de los estatutos y adoptar las medidas necesarias para corregirlas y enmendar sus efectos d) conocer de las denuncias que se formulen contra cualquiera de los afiliados del partido, sean o no autoridades de éste, por actos de indisciplina o infracciones a la declaración de principios o a sus estatutos, o por conductas indebidas que comprometan los intereses y el prestigio del partido y aplicar las siguientes medidas disciplinarias, previo procedimiento establecido y respetando el principio del debido proceso: amonestación privada, verbal o escrita amonestación pública suspensión de derechos por un tiempo determinado expulsión del partido e) controlar el correcto desarrollo de las elecciones y votaciones partidistas y dictar las instrucciones generales o particulares que para tal efecto correspondan, resolviendo en segunda instancia las reclamaciones que, en primera instancia, hayan sido conocidas por las Comisiones Regionales Receptoras de Sufragios f) las demás que el Consejo General acuerde entregarle o se establezcan en los reglamentos internos y que no sean de la competencia de otros organismo del partido de acuerdo a la ley y los estatutos. Conforme dispone el artículo primero transitorio de los estatutos del Partido, contenidos en escritura pública de fecha tres de septiembre de 2018 y su rectificación de 22 de noviembre del mismo año, la Directiva Central, el Consejo General, las Directivas Regionales, los Consejos Regionales y el Tribunal Supremo del Partido continuarán ejerciendo sus funciones y atribuciones hasta el año 2020, momento en el que se procederá a elegir los nuevos órganos directivos que establece el estatuto ya señalado. Conforme con lo anterior, en este portal se informan los órganos actualmente en funciones, según las normas estatutarias citadas.
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Directiva Central;La Directiva Central es el órgano que dirige al partido y estará integrada por un presidente, un secretario, un tesorero y tres directores, los que serán elegidos por el Consejo General de entre los afiliados del partido. Los miembros de la Directiva Central durarán tres años en sus cargos, pudiendo ser reelegidos por cuatro períodos consecutivos. En caso de fallecimiento, renuncia, impedimento o ausencia permanente de algunos de sus miembros y previa declaración del Tribunal Supremo de tal circunstancia, la propia Directiva determinará la subrogación, en tanto se elija al reemplazante por el Consejo General, en reunión extraordinaria convocada para tal objetivo. La Directiva Central deberá informar y consultar a los miembros del Consejo General sobre asuntos de importancia política. La Directiva Central ejecuta las resoluciones del Consejo General, dirige al partido en conformidad con sus estatutos y su programa, administra los bienes del partido, rindiendo cuenta anual al Consejo General y somete a la aprobación del Consejo General el programa y los reglamentos internos del partido. Conforme dispone el artículo primero transitorio de los estatutos del Partido, contenidos en escritura pública de fecha tres de septiembre de 2018 y su rectificación de 22 de noviembre del mismo año, la Directiva Central, el Consejo General, las Directivas Regionales, los Consejos Regionales y el Tribunal Supremo del Partido continuarán ejerciendo sus funciones y atribuciones hasta el año 2020, momento en el que se procederá a elegir los nuevos órganos directivos que establece el estatuto ya señalado. Conforme con lo anterior, en este portal se informan los órganos actualmente en funciones, según las normas estatutarias citadas.
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Consejo Regional;Función de los Consejos Regionales: Planificar y ejecutar las políticas del partido para la región. Efectuar las proposiciones para la designación o el apoyo a candidatos a senadores y diputados, de conformidad con el inciso I del artículo 31 de la ley Nº 18603. Organizar las elecciones internas que, conforme a estos estatutos o a los reglamentos internos, corresponda realizar en la respectiva región y en general, todas las funciones que provengan de la ley, los estatutos y de los reglamentos internos. Conforme dispone el artículo primero transitorio de los estatutos del Partido, contenidos en escritura pública de fecha tres de septiembre de 2018 y su rectificación de 22 de noviembre del mismo año, la Directiva Central, el Consejo General, las Directivas Regionales, los Consejos Regionales y el Tribunal Supremo del Partido continuarán ejerciendo sus funciones y atribuciones hasta el año 2020, momento en el que se procederá a elegir los nuevos órganos directivos que establece el estatuto ya señalado. Conforme con lo anterior, en este portal se informan los órganos actualmente en funciones, según las normas estatutarias citadas.
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Directivas Regionales;Cada Consejo Regional elegirá, de entre sus consejeros, a una Directiva Regional que estará constituida por un presidente, un secretario y un tesorero. Las directivas Regionales tendrán entre sus funciones convocar extraordinariamente a través de su presidente a los Consejos regionales. La Directiva Regional será la encargada de recibir, a través de su secretario, a los candidatos para el Consejo Regional. Conforme dispone el artículo primero transitorio de los estatutos del Partido, contenidos en escritura pública de fecha tres de septiembre de 2018 y su rectificación de 22 de noviembre del mismo año, la Directiva Central, el Consejo General, las Directivas Regionales, los Consejos Regionales y el Tribunal Supremo del Partido continuarán ejerciendo sus funciones y atribuciones hasta el año 2020, momento en el que se procederá a elegir los nuevos órganos directivos que establece el estatuto ya señalado. Conforme con lo anterior, en este portal se informan los órganos actualmente en funciones, según las normas estatutarias citadas.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Comisión de ética;A nivel Nacional, existirá una Comisión de Ética, integrada por "personalidades del Partido" tales como los fundadores, los Militantes que se hayan desempeñado como presidentes de la República, los y las ex Presidentes Nacionales, los y las Parlamentarias que haya desempeñado los cargos de integrantes de la Presidencia del Senado o de la Cámara de Diputados, los ex presidentes o presidentas del Tribunal Supremo y otros Militantes destacados, designados por el Consejo Nacional. Esta Comisión tendrá como objeto promover la ética en la actividad partidaria y cooperar en la resolución de los asuntos o problemas éticos que a ella se presenten. El detalle de su composición y funcionamiento se establecerá en el Reglamento respectivo aprobado por la Junta Nacional.
