idCaso;IdMotivo;Motivo
345;2;No recibió respuesta a su solicitud
346;4;Otras
347;2;No recibió respuesta a su solicitud
348;1;Respuesta negativa a la solicitud de información
348;12;Otras
349;11;Oposición de un tercero
349;1;Respuesta negativa a la solicitud de información
350;2;No recibió respuesta a su solicitud
378;2;No recibió respuesta a su solicitud
379;3;La información entregada no corresponde a la solicitada
379;4;Otras
380;1;Respuesta negativa a la solicitud de información
380;6;Debido funcionamiento del órgano/servicio
381;1;Respuesta negativa a la solicitud de información
381;12;Otras
382;12;Otras
382;1;Respuesta negativa a la solicitud de información
382;5;Seguridad nacional
382;7;Interés nacional
383;2;No recibió respuesta a su solicitud
384;2;No recibió respuesta a su solicitud
385;3;La información entregada no corresponde a la solicitada
386;2;No recibió respuesta a su solicitud
387;1;Respuesta negativa a la solicitud de información
387;12;Otras
387;6;Debido funcionamiento del órgano/servicio
388;13;La información no está disponible en forma permanente
388;14;El acceso a la información no es expedito
388;19;Facultades, funciones y atribuciones de unidades internas
388;21;Personal y sus remuneraciones
388;20;Entidades en que el organismo tiene participación, representación e intervención
388;22;Marco normativo aplicable
388;23;Actos y resoluciones con efectos sobre terceros
388;25;Mecanismos de participación ciudadana
388;26;Contrataciones
388;27;Transferencias de fondos públicos
388;28;Presupuesto asignado y su ejecución
388;29;Programas de subsidios y otros beneficios (diseño, montos, criterios de acceso, beneficiarios)
388;24;Actos y documentos publicados en el Diario Oficial
388;30;Otros
388;15;La información es incompleta
389;2;No recibió respuesta a su solicitud
390;1;Respuesta negativa a la solicitud de información
390;12;Otras
391;2;No recibió respuesta a su solicitud
392;2;No recibió respuesta a su solicitud
393;2;No recibió respuesta a su solicitud
394;1;Respuesta negativa a la solicitud de información
395;2;No recibió respuesta a su solicitud
396;1;Respuesta negativa a la solicitud de información
396;11;Oposición de un tercero
397;12;Otras
397;3;La información entregada no corresponde a la solicitada
398;4;Otras
399;2;No recibió respuesta a su solicitud
400;2;No recibió respuesta a su solicitud
401;2;No recibió respuesta a su solicitud
402;1;Respuesta negativa a la solicitud de información
402;11;Oposición de un tercero
403;2;No recibió respuesta a su solicitud
404;1;Respuesta negativa a la solicitud de información
404;10;La información solicitada está en posesión de otro órgano o servicio
405;2;No recibió respuesta a su solicitud
407;4;Otras
408;1;Respuesta negativa a la solicitud de información
408;12;Otras
409;3;La información entregada no corresponde a la solicitada
410;2;No recibió respuesta a su solicitud
411;1;Respuesta negativa a la solicitud de información
