idProceso;Nombre Proceso;IDInstitucion;Nombre Institucion;FechaNotificacion;Puntaje
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"c3573745-a109-e211-b576-00155d01e500";"AGENCIA DE COOPERACIÓN INTERNACIONAL (AGCI)";21-10-2010;0,906100
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"ad573745-a109-e211-b576-00155d01e500";"AGENCIA NACIONAL DE INTELIGENCIA";26-10-2010;0,917900
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"51583745-a109-e211-b576-00155d01e500";"ARMADA DE CHILE";22-10-2010;0,977800
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"65583745-a109-e211-b576-00155d01e500";"CAJA DE PREVISIÓN DE LA DEFENSA NACIONAL (CAPREDENA)";22-10-2010;0,751600
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"55583745-a109-e211-b576-00155d01e500";"CARABINEROS DE CHILE";25-10-2010;0,863600
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"c1583745-a109-e211-b576-00155d01e500";"CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIOS DE SALUD (CENABAST)";21-10-2010;0,823100
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"c9583745-a109-e211-b576-00155d01e500";"CENTRO DE REFERENCIA DE SALUD DE PEÑALOLEN CORDILLERA ORIENTE";22-10-2010;0,979400
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"c7583745-a109-e211-b576-00155d01e500";"CENTRO DE REFERENCIA DE SALUD MAIPÚ";21-10-2010;0,825700
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"09583745-a109-e211-b576-00155d01e500";"COMISIÓN ADMINISTRADORA DEL SISTEMA DE CRÉDITOS PARA ESTUDIOS SUPERIORES (INGRESA)";29-10-2010;0,779600
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"0b593745-a109-e211-b576-00155d01e500";"COMISIÓN CHILENA DE ENERGÍA NUCLEAR (CCHEN)";26-10-2010;0,934500
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"09593745-a109-e211-b576-00155d01e500";"COMISIÓN CHILENA DEL COBRE (COCHILCO)";26-10-2010;0,995600
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"0b583745-a109-e211-b576-00155d01e500";"COMISIÓN NACIONAL DE ACREDITACIÓN";28-10-2010;0,978500
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"9b573745-a109-e211-b576-00155d01e500";"COMISIÓN NACIONAL DE ENERGÍA (CNE)";26-10-2010;0,935100
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"ff573745-a109-e211-b576-00155d01e500";"COMISIÓN NACIONAL DE INVESTIGACIÓN CIENTÍFICA Y TECNOLÓGICA (CONICYT)";28-10-2010;0,964000
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"93583745-a109-e211-b576-00155d01e500";"COMISIÓN NACIONAL DE RIEGO";21-10-2010;0,799700
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"9d573745-a109-e211-b576-00155d01e500";"COMISIÓN NACIONAL DEL MEDIO AMBIENTE (CONAMA)";03-11-2010;0,810700
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"db573745-a109-e211-b576-00155d01e500";"COMITÉ DE INVERSIONES EXTRANJERAS";26-10-2010;0,935900
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"fd573745-a109-e211-b576-00155d01e500";"CONSEJO DE CALIFICACION CINEMATOGRÁFICA";28-10-2010;0,992900
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"ef573745-a109-e211-b576-00155d01e500";"CONSEJO DE DEFENSA DEL ESTADO (CDE)";22-10-2010;1,000000
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"05583745-a109-e211-b576-00155d01e500";"CONSEJO DE RECTORES";29-10-2010;0,965400
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"9f573745-a109-e211-b576-00155d01e500";"CONSEJO NACIONAL DE LA CULTURA Y LAS ARTES (CNCA)";26-10-2010;0,910100
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"3f593745-a109-e211-b576-00155d01e500";"CONSEJO NACIONAL DE TELEVISIÓN (CNTV)";22-11-2010;0,362500
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"3f593745-a109-e211-b576-00155d01e500";"CONSEJO NACIONAL DE TELEVISIÓN (CNTV)";23-11-2010;0,362500
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"07583745-a109-e211-b576-00155d01e500";"CONSEJO SUPERIOR DE EDUCACIÓN";28-10-2010;0,989800
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"3d583745-a109-e211-b576-00155d01e500";"CORPORACION DE ASISTENCIA JUDICIAL DE LA REGIÓN DE VALPARAÍSO";21-10-2010;0,990600
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"41583745-a109-e211-b576-00155d01e500";"CORPORACION DE ASISTENCIA JUDICIAL DE LA REGIÓN DEL BIO BIO";21-10-2010;0,968800
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"3f583745-a109-e211-b576-00155d01e500";"CORPORACION DE ASISTENCIA JUDICIAL DE LA REGIÓN METROPOLITANA";21-10-2010;0,921700
16;"Poceso de Fiscalizacion a las 267  OAC 2010";"3b583745-a109-e211-b576-00155d01e500";"CORPORACION DE ASISTENCIA JUDICIAL REGIONES DE TARAPACÁ Y ANTOFAGASTA";21-10-2010;0,957600
