Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Nombre del Pacto;Partidos que lo conforman;Tipo o carácter del pacto;Año de elecciones
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Alternativa Democrática;Partidos Humanista, Miras, Partido Liberal de Chile, Independientes;Elección de concejales;2016
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;La Fuerza de la Mayoría;Radical Social Democrata, Comunista de Chile, Socialista de Chile, Por la Democracia.;Elecciones Parlamentarias 2017 (Fecha del pacto 21/agosto/2017);2017
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Por un Chile Justo y Descentralizado;Radical Social Democrata, Comunista de Chile, Izquierda Ciudadana de Chile, Mas-Region, Por la Democracia;Elecciones de Consejeros Regionales 2017 (Fecha del pacto 21/agosto/2017);2017
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Nueva Mayoría por Chile;Partido por la Democracia, Partido Comunista de Chile, Independientes;Elección de concejales (Fecha del Pacto 25/julio/2016);2016
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Nueva Mayoría;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Más Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de alcaldes (Fecha del Pacto 25/julio/2016);2016
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Más Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de Alcaldes;2016
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile , Independientes;Elección Concejales;2016
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Unidos por la descentralizacion;Partido Demócrata Cristiano y Partido Socialista de Chile;Elección Consejeros Regionales;2017
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección de Diputados;2017
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección Senatorial;2017
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Más Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de Alcaldes;2016
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile , Independientes;Elección Concejales;2016
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;Unidos por la descentralizacion;Partido Demócrata Cristiano y Partido Socialista de Chile;Elección Consejeros Regionales;2017
