Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Materia;Nombre del Órgano;Tipo de Acto;Denominación del Acto;Número del Acto;Fecha del Acto;Breve descripción del objeto del Acto;Vínculo al texto íntegro
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;VII;Consejo Nacional;Acuerdo;Acuerdo Presidencial;Sin información;20-11-2017;Apoyo candidatura presidencial segunda vuelta;http://pdc.cl/wp-content/uploads/2017/11/DECLARACI%C3%93N-P%C3%9ABLICA-20-NOVIEMBRE.pdf
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;VIII;Junta Nacional;Acuerdo;Acuerdo de Elección Interna, Directiva Nacional - Definición política;sin información;27-01-2018;Se aprobó llamado a elecciones interna - Se define como partido de oposición, sin necesidad de formar coalición política;http://pdc.cl/wp-content/uploads/2018/01/VOTO-POL%C3%8DTICO-JUNTA-NACIONAL-PDC-ENERO-2018.pdf
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;IX;Junta Nacional;Acuerdo;Acuerdo de Reforma de Estatutos y Reglamento;sin información;23-03-2019;Se aprobó reforma de estatutos y reglamento del Partido;http://pdc.cl/wp-content/uploads/2019/04/ACTA-PDC.pdf
PP009;Partido Demócrata Cristiano (PDC);2017;Ene - Mar;I;Junta Nacional;Acuerdo;Acuerdo Presidencial;Sin información;11-03-2017;Proclamación candidatura Presidencial;http://pdc.cl/wp-content/uploads/2017/09/ACTA-SERVEL-11-DE-MARZO.pdf
PP009;Partido Demócrata Cristiano (PDC);2017;Ene - Mar;II;Junta Nacional;Acuerdo;Programa Político;Sin información;11-03-2017;Aprobación programa;http://pdc.cl/wp-content/uploads/2017/09/ACTA-SERVEL-11-DE-MARZO.pdf
PP009;Partido Demócrata Cristiano (PDC);2017;Ene - Mar;III;Junta Nacional;Acuerdo;Consejeros Nacionales;Sin información;11-03-2017;Votación Consejeros Nacionales;http://pdc.cl/wp-content/uploads/2017/09/ACTA-SERVEL-11-DE-MARZO.pdf
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sept;IV;Junta Nacional;Acuerdo;Elecciones Parlamentarias;Sin información;29-07-2017;Parlamentarios y Pacto Electoral;http://pdc.cl/wp-content/uploads/2017/09/ACTA-CONSEJO-PDC-29-07-2017.pdf
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sept;V;Junta Nacional;Acuerdo;Elecciones Consejeros Regionales (CORE);Sin información;29-07-2017;CORE y Pacto Electoral;http://pdc.cl/wp-content/uploads/2017/09/ACTA-CONSEJO-PDC-29-07-2017.pdf
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sept;VI;Junta Nacional;Acuerdo;Programa Presidencial;Sin información;29-07-2017;Aprobación programa;http://pdc.cl/wp-content/uploads/2017/09/ACTA-CONSEJO-PDC-29-07-2017.pdf
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;VII;Consejo Nacional;Acuerdo;Acuerdo Presidencial;Sin información;20-11-2017;Apoyo candidatura presidencial segunda vuelta;http://pdc.cl/wp-content/uploads/2017/11/DECLARACI%C3%93N-P%C3%9ABLICA-20-NOVIEMBRE.pdf
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;VIII;Junta Nacional;Acuerdo;Acuerdo de Elección Interna, Directiva Nacional - Definición política;sin información;27-01-2018;Se aprobó llamado a elecciones interna - Se define como partido de oposición, sin necesidad de formar coalición política;http://pdc.cl/wp-content/uploads/2018/01/VOTO-POL%C3%8DTICO-JUNTA-NACIONAL-PDC-ENERO-2018.pdf
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;IX;Junta Nacional;Acuerdo;Acuerdo de Reforma de Estatutos y Reglamento;sin información;23-03-2019;Se aprobó reforma de estatutos y reglamento del Partido;http://pdc.cl/wp-content/uploads/2019/04/ACTA-PDC.pdf
PP010;Partido Ecologista Verde (PEV);2019;Ene-Mar;-;O. Nacional;Acta;Acuerdos Electorales y Aprobatorios;-;05-02-2019;Elección Tribunal Supremo;http://www.ecologistas.cl/wp-content/uploads/2019/01/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-5-enero-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Ene-Mar;-;Or. Tarapacá;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/01/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-5-enero-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Ene-Mar;-;Or. Antofagasta;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/01/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-5-enero-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Ene-Mar;-;Or. Atacama;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/01/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-5-enero-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Ene-Mar;-;Or. Coquimbo;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/01/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-5-enero-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Ene-Mar;-;Or. Metropolitana;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/01/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-5-enero-2019.pdf
PP010;Partido Ecologista Verde (PEV);2020;Ene-Mar;-;Or. Ñuble;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/01/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-5-enero-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Ene-Mar;-;Or. Biobío;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/01/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-5-enero-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Ene-Mar;-;Or. Los Ríos;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/01/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-5-enero-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Ene-Mar;-;Or. Los Lagos;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/01/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-5-enero-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;O. Nacional;Acta;Acuerdos Electorales y Aprobatorios;-;13-04-2019;Consejo nacional extraordinario: Aprobación balance 2018 y Protocolo de acoso y no violencia;http://www.ecologistas.cl/wp-content/uploads/2019/04/Acta-consejo-nacional-extraordinario-13-04-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;O. Nacional;Acta;Acuerdos Electorales y Aprobatorios;-;02-06-2019;Consejo nacional extraordinario: Analisis de estatutos y realización de congreso ideologico y programatico;http://www.ecologistas.cl/wp-content/uploads/2019/06/Acta-Sesi%C3%B3n-Extraordinaria-Consejo-Nacional-PEV-Santiago-2-junio-2019-1.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;Or. Tarapacá;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/04/Acta-consejo-nacional-extraordinario-13-04-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;Or. Antofagasta;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/04/Acta-consejo-nacional-extraordinario-13-04-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;Or. Atacama;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/04/Acta-consejo-nacional-extraordinario-13-04-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;Or. Coquimbo;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/04/Acta-consejo-nacional-extraordinario-13-04-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;Or. Metropolitana;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/04/Acta-consejo-nacional-extraordinario-13-04-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;Or. Ñuble;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/04/Acta-consejo-nacional-extraordinario-13-04-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;Or. Biobío;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/04/Acta-consejo-nacional-extraordinario-13-04-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;Or. Los Ríos;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/04/Acta-consejo-nacional-extraordinario-13-04-2019.pdf
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;-;Or. Los Lagos;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2019/04/Acta-consejo-nacional-extraordinario-13-04-2019.pdf
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;-;O. Nacional;Acta;Acuerdos Electorales y Aprobatorios;-;25-04-2018;Aprobación de balance 2017 y votación para aprobar fusión con Partido Ecologista Verde del Sur;http://www.ecologistas.cl/wp-content/uploads/2018/07/Consejo-General-PEV-25-de-Abril-2018.pdf
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;-;Or. Tarapacá;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2018/07/Consejo-General-PEV-25-de-Abril-2018.pdf
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;-;Or. Antofagasta;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2018/07/Consejo-General-PEV-25-de-Abril-2018.pdf
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;-;Or. Atacama;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2018/07/Consejo-General-PEV-25-de-Abril-2018.pdf
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;-;Or. Coquimbo;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2018/07/Consejo-General-PEV-25-de-Abril-2018.pdf
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;-;Or. Metropolitana;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2018/07/Consejo-General-PEV-25-de-Abril-2018.pdf
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;-;Or. Biobío;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2018/07/Consejo-General-PEV-25-de-Abril-2018.pdf
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;-;Or. Los Ríos;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2018/07/Consejo-General-PEV-25-de-Abril-2018.pdf
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;-;Or. Los Lagos;-;-;-;-;-;http://www.ecologistas.cl/wp-content/uploads/2018/07/Consejo-General-PEV-25-de-Abril-2018.pdf
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;-;O. Nacional;Acta;Acuerdos Electorales y Aprobatorios;-;22-04 y 02-05;Aprobación Balance 2016, autorización a firmar Pactos Electorales, aprobación para realizar Primarias de Diputados en Distrito 20.;http://www.ecologistas.cl/representantes/consejo-nacional/
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;-;Or. Tarapacá;-;-;-;-;-;http://www.ecologistas.cl/representantes/consejo-nacional/
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;-;Or. Antofagasta;-;-;-;-;-;http://www.ecologistas.cl/representantes/consejo-nacional/
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;-;Or. Atacama;-;-;-;-;-;http://www.ecologistas.cl/representantes/consejo-nacional/
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;-;Or. Coquimbo;-;-;-;-;-;http://www.ecologistas.cl/representantes/consejo-nacional/
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;-;Or. Biobío;-;-;-;-;-;http://www.ecologistas.cl/representantes/consejo-nacional/
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;-;Or. Los Ríos;-;-;-;-;-;http://www.ecologistas.cl/representantes/consejo-nacional/
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;-;Or. Los Lagos;-;-;-;-;-;http://www.ecologistas.cl/representantes/consejo-nacional/
PP011;Partido Evolución Política (Evópoli);2018;oct - dic;aprobacion balance;Organo Intermedio colegiado;Concejo General;Acuerdo Organo;1;27/12/2018;aprobacion balance;https://www.dropbox.com/s/e8s6hz2veaazz8c/Acta%20Tribunal%20Supremo%20Consejo%20General%20Extraordinario%2027.Dic.2018.pdf?dl=0
PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;I;Consejo Nacional;Acta;Acuerdos del Consejo Nacional;XLVIII;20-01-2018;Acuerdos adoptados por el Consejo Nacional;http://ppd.cl/wp-content/uploads/2018/04/Acta-Consejo-Nacional-XLVIII-enero-2018-1-1.pdf
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;I;Consejo Nacional;Acta;Acuerdos del Consejo Nacional;XLV;14-01-2017;Acuerdos adoptados por el Consejo Nacional;http://ppd.cl/wp-content/uploads/2018/04/Acta-Consejo-Nacional-XLV-enero-2017.pdf
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;I;Consejo Nacional;Acta;Acuerdos del Consejo Nacional;XLVI;13-05-2017;Acuerdos adoptados por el Consejo Nacional;http://ppd.cl/wp-content/uploads/2018/04/Acta-Consejo-Nacional-XLVI-mayo-2017.pdf
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;I;Consejo Nacional;Acta;Acuerdos del Consejo Nacional;LI;25-05-2019;IV Congreso Nacional Ideológico & Estratégico;https://www.ppd.cl/wp-content/uploads/2019/07/Acta-Quincuagesimo-primer-Consejo-Nacional-Congreso-Ideologico-Estrategico.pdf
PP019;Partido Por la Democracia (PPD);2018;Abr - Jun;I;Consejo Nacional;Acta;Acuerdos del Consejo Nacional;XLIX;20-01-2018;Acuerdos adoptados por el Consejo Nacional;http://www.ppd.cl/wp-content/uploads/2018/07/Acta-Consejo-Nacional-XLIV-mayo-2018.pdf.pdf
PP019;Partido Por la Democracia (PPD);2017;Jul - Sep;I;Consejo Nacional;Acta;Acuerdos del Consejo Nacional;XLVII;29-07-2017;Acuerdos adoptados por el Consejo Nacional;http://ppd.cl/wp-content/uploads/2018/04/Acta-Consejo-Nacional-XLVI-julio-2017.pdf
PP019;Partido Por la Democracia (PPD);2018;Oct - Dic;I;Consejo Nacional;Acta;Acuerdos del Consejo Nacional;L;15-12-2018;Acuerdos adoptados por el Consejo Nacional;http://ppd.cl/wp-content/uploads/2019/01/Acta-Consejo-Nacional-diciembre-transparencia.pdf
PP021;Partido Progresista (PRO);2017;Ene - Mar;Directiva Partido;Consejo General;Acta;Presidencia de Partido;N/A;21-01-17;Aprobación de la salida de la Presidencia del partido de Patricia Morales y la designación de Camilo Lagos como Presidente subrogante.;http://losprogresistas.cl/2017-01-22-13-24-40/
PP021;Partido Progresista (PRO);2017;Abr - Jun;Balance Financiero;Consejo General;Aprobación;Reendición del Balance 2016;N/A;29-04-17;Aprobar el balance financiero del Partido Progresista correspondiente al año 2016;http://losprogresistas.cl/consejo-general-extraordinario-del-partido-progresista-de-chile-6/
PP021;Partido Progresista (PRO);2017;Jul - Sep;Pacto Electorales;Consejo General;Aprobación;Elecciones 2017;N/A;29-07-17;Aprobación la conformación del pacto electoral parlamentario, cores y candidatura presidencial. Ratificar la candidatura Presidencial de Marco Enriquez-Ominami.;http://losprogresistas.cl/consejo-federal-del-pro-aprueba-votos/
PP021;Partido Progresista (PRO);2017;Oct - Dic;Electoral;Consejo General;Aprobación;Elecciones 2017;N/A;05-12-17;Respaldo candidatura de Alejandro Guillier, llamado a apoderados de mesa y militantes para estar presentes en mesas de votación;http://losprogresistas.cl/comunicado-partido-progresista-9/
PP021;Partido Progresista (PRO);2017;Oct - Dic;Fusión de Partido;Consejo General;Acuerdo;acta de acuerdo Fusión de partido;Sin información;15-12-17;Aprobación de fusión del Partido Progresista con Pais. Se faculta a la Directiva Nacional para llevar a cabo el proceso de fusión del Partido Progresista, para constituir el partido Pais Progresista.;http://losprogresistas.cl/acta-de-acuerdo-consejo-federal-extraordinario-del-partido-progresista/
PP021;Partido Progresista (PRO);2017;Ene - Mar;Directiva Partido;Consejo General;Acta;Presidencia de Partido;N/A;21-01-17;Aprobación de la salida de la Presidencia del partido de Patricia Morales y la designación de Camilo Lagos como Presidente subrogante.;http://losprogresistas.cl/2017-01-22-13-24-40/
PP021;Partido Progresista (PRO);2017;Abr - Jun;Balance Financiero;Consejo General;Aprobación;Reendición del Balance 2016;N/A;29-04-17;Aprobar el balance financiero del Partido Progresista correspondiente al año 2016;http://losprogresistas.cl/consejo-general-extraordinario-del-partido-progresista-de-chile-6/
PP021;Partido Progresista (PRO);2017;Jul - Sep;Pacto Electorales;Consejo General;Aprobación;Elecciones 2017;N/A;29-07-17;Aprobación la conformación del pacto electoral parlamentario, cores y candidatura presidencial. Ratificar la candidatura Presidencial de Marco Enriquez-Ominami.;http://losprogresistas.cl/consejo-federal-del-pro-aprueba-votos/
PP021;Partido Progresista (PRO);2017;Oct - Dic;Electoral;Consejo General;Aprobación;Elecciones 2017;N/A;05-12-17;Respaldo candidatura de Alejandro Guillier, llamado a apoderados de mesa y militantes para estar presentes en mesas de votación;http://losprogresistas.cl/comunicado-partido-progresista-9/
PP021;Partido Progresista (PRO);2017;Oct - Dic;Fusión de Partido;Consejo General;Acuerdo;acta de acuerdo Fusión de partido;Sin información;15-12-17;Aprobación de fusión del Partido Progresista con Pais. Se faculta a la Directiva Nacional para llevar a cabo el proceso de fusión del Partido Progresista, para constituir el partido Pais Progresista.;http://losprogresistas.cl/acta-de-acuerdo-consejo-federal-extraordinario-del-partido-progresista/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo General;No Aplica;No Aplica;No Aplica;No Aplica;Consejo General inactivo en este periodo;https://www.partidoradical.cl/consejo-general/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Arica y Parinacota;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Arica y Parinacota;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Arica y Parinacota;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Tarapacá;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Tarapacá;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Tarapacá;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Antofagasta;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Antofagasta;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Antofagasta;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Atacama;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Atacama;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Atacama;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Coquimbo;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Coquimbo;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Coquimbo;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Valparaíso;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Valparaíso;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Valparaíso;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Metropolitana Stgo.;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
