"uriPasivo","codigoPasivo","uriPersona","codigoPersona","nombrePasivo","organismo","IDORPortal","cargo","inicioPasivo","finPasivo"
"http://datos.infolobby.cl/infolobby/pasivo/AE0014727","AE0014727","http://datos.infolobby.cl/infolobby/persona/de2b34ae05e2780c59b373eef572324f","de2b34ae05e2780c59b373eef572324f","Rodrigo Valdés Pulido","SUBSECRETARÍA DE HACIENDA","ae001","Ministro",2015-05-11,2017-08-31
"http://datos.infolobby.cl/infolobby/pasivo/AF0014198","AF0014198","http://datos.infolobby.cl/infolobby/persona/1bd6f2c6694416e5b0d7bb6b079d3733","1bd6f2c6694416e5b0d7bb6b079d3733","Jorge Insunza","SUBSECRETARÍA GENERAL DE LA PRESIDENCIA","af001","Ministro",2015-05-11,2015-06-07
"http://datos.infolobby.cl/infolobby/pasivo/AH00178","AH00178","http://datos.infolobby.cl/infolobby/persona/026dbb546a33f58b431093bf7d58577c","026dbb546a33f58b431093bf7d58577c","Luis Felipe Céspedes Cifuentes","SUBSECRETARÍA DE ECONOMÍA","ah001","Ministro",2014-03-11,2017-08-31
"http://datos.infolobby.cl/infolobby/pasivo/AB001443","AB001443","http://datos.infolobby.cl/infolobby/persona/d76c6021ecc7a31cd8ead7fc8469d3f4","d76c6021ecc7a31cd8ead7fc8469d3f4","Rodrigo Julián Peñailillo Briceño","SUBSECRETARÍA DEL INTERIOR","ab001","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AI007222","AI007222","http://datos.infolobby.cl/infolobby/persona/521bef7b34d71448783915c271abc730","521bef7b34d71448783915c271abc730","María Fernanda Villegas Acevedo","SUBSECRETARIA DE EVALUACIÓN SOCIAL","ai007","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AG0014216","AG0014216","http://datos.infolobby.cl/infolobby/persona/dcbfc440f2b8d04d5bc771705759d2f8","dcbfc440f2b8d04d5bc771705759d2f8","Marcelo Diaz Diaz","SUBSECRETARIA GENERAL DE GOBIERNO","ag001","Ministro",2015-05-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AK00144","AK00144","http://datos.infolobby.cl/infolobby/persona/1a5ed50873b4af1dc63835b0e163eeb2","1a5ed50873b4af1dc63835b0e163eeb2","José Antonio Gómez Urrutia","SUBSECRETARÍA DE JUSTICIA","ak001","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AE00185","AE00185","http://datos.infolobby.cl/infolobby/persona/3618f3b9a72b78a54e5c91f413297f5d","3618f3b9a72b78a54e5c91f413297f5d","Alberto  Arenas de Mesa","SUBSECRETARÍA DE HACIENDA","ae001","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AF0017028","AF0017028","http://datos.infolobby.cl/infolobby/persona/571307106d9b027c2e5d746d28dec7e7","571307106d9b027c2e5d746d28dec7e7","Nicolás Eyzaguirre Guzmán","SUBSECRETARÍA GENERAL DE LA PRESIDENCIA","af001","Ministro",2015-06-27,2017-08-31
"http://datos.infolobby.cl/infolobby/pasivo/AD02260","AD02260","http://datos.infolobby.cl/infolobby/persona/7079c185eb1d143ca6f520e45545bba3","7079c185eb1d143ca6f520e45545bba3","Jorge Alfonso Burgos Varela","SUBSECRETARIA PARA LAS FUERZAS ARMADAS","ad022","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AB0014534","AB0014534","http://datos.infolobby.cl/infolobby/persona/7079c185eb1d143ca6f520e45545bba3","7079c185eb1d143ca6f520e45545bba3","Jorge Alfonso Burgos Varela","SUBSECRETARÍA DEL INTERIOR","ab001","Ministro",2015-05-11,2016-06-08
"http://datos.infolobby.cl/infolobby/pasivo/AG00115","AG00115","http://datos.infolobby.cl/infolobby/persona/746a4e50776090ea1f3273011ad50ffc","746a4e50776090ea1f3273011ad50ffc","Álvaro Antonio Elizalde Soto","SUBSECRETARIA GENERAL DE GOBIERNO","ag001","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AK0014287","AK0014287","http://datos.infolobby.cl/infolobby/persona/d0e27d95f07b589651676ea4e358e195","d0e27d95f07b589651676ea4e358e195","Javiera Blanco Suarez","SUBSECRETARÍA DE JUSTICIA","ak001","Ministro",2015-05-11,2016-10-19
"http://datos.infolobby.cl/infolobby/pasivo/AB07911195","AB07911195","http://datos.infolobby.cl/infolobby/persona/422a9826e8dd343a088ced1a6d162ae9","422a9826e8dd343a088ced1a6d162ae9","Fernando Gallardo Pereira","GOBIERNO REGIONAL REGIÓN DE COQUIMBO","ab079","Consejero regional",2014-03-11,2016-07-27
"http://datos.infolobby.cl/infolobby/pasivo/AB08114444","AB08114444","http://datos.infolobby.cl/infolobby/persona/80660e68660843f3b15e5f7527a03528","80660e68660843f3b15e5f7527a03528","Jaime Escudero Ramos","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB08114514","AB08114514","http://datos.infolobby.cl/infolobby/persona/b0741cca847e82526794b27851882281","b0741cca847e82526794b27851882281","Jaime Manuel Tohá González","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB07714024","AB07714024","http://datos.infolobby.cl/infolobby/persona/4de363559e1d6160b5274a48321ac203","4de363559e1d6160b5274a48321ac203","Mario Gilberto Acuña Villalobos","GOBIERNO REGIONAL REGIÓN DE ANTOFAGASTA","ab077","Consejero regional",2014-03-11,2019-10-24
"http://datos.infolobby.cl/infolobby/pasivo/AB07714152","AB07714152","http://datos.infolobby.cl/infolobby/persona/d01db42d378e39d5c827e8fa7812b389","d01db42d378e39d5c827e8fa7812b389","CONSTANTINO  ALEJANDRO  ZAFIROPULOS BOSSY ","GOBIERNO REGIONAL REGIÓN DE ANTOFAGASTA","ab077","Consejero regional",2014-03-11,2016-11-16
"http://datos.infolobby.cl/infolobby/pasivo/AB08114521","AB08114521","http://datos.infolobby.cl/infolobby/persona/5823ed9f2684e60cd6f092de48601680","5823ed9f2684e60cd6f092de48601680","Paula Zúñiga Calderón","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-17
"http://datos.infolobby.cl/infolobby/pasivo/AB08114462","AB08114462","http://datos.infolobby.cl/infolobby/persona/06eaf2de2f6308bdb02e9f4c8f3867e6","06eaf2de2f6308bdb02e9f4c8f3867e6","Rafael Izquierdo García-Huidobro","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB08114418","AB08114418","http://datos.infolobby.cl/infolobby/persona/24d27a269937bc3dee65f48a06c37f92","24d27a269937bc3dee65f48a06c37f92","Cathy Barriga Guerra","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-07-22
"http://datos.infolobby.cl/infolobby/pasivo/AB07911200","AB07911200","http://datos.infolobby.cl/infolobby/persona/a4aba11117a854de15155c11e3e72dd5","a4aba11117a854de15155c11e3e72dd5","Denis Cortés Aguilera","GOBIERNO REGIONAL REGIÓN DE COQUIMBO","ab079","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB07816500","AB07816500","http://datos.infolobby.cl/infolobby/persona/f4401aa6ba5a9e02b91d9c91ba217cbd","f4401aa6ba5a9e02b91d9c91ba217cbd","Sofía Cid Versalovic","GOBIERNO REGIONAL REGIÓN DE ATACAMA","ab078","Consejero regional",2014-03-11,2016-07-21
"http://datos.infolobby.cl/infolobby/pasivo/AB08114427","AB08114427","http://datos.infolobby.cl/infolobby/persona/7dcf2947c513e6d5c1a9804bda31e3fc","7dcf2947c513e6d5c1a9804bda31e3fc","Freddy Campusano Cerda","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-07-19
"http://datos.infolobby.cl/infolobby/pasivo/AB08114467","AB08114467","http://datos.infolobby.cl/infolobby/persona/e5fd57e9e5c8653771758c38155a569f","e5fd57e9e5c8653771758c38155a569f","Karin Luck Urban","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-17
"http://datos.infolobby.cl/infolobby/pasivo/AB07714061","AB07714061","http://datos.infolobby.cl/infolobby/persona/c3e9538b2042a0fe98a45dac4bb7266c","c3e9538b2042a0fe98a45dac4bb7266c","LUIS ANDRES CAPRIOGLIO RABELLO ","GOBIERNO REGIONAL REGIÓN DE ANTOFAGASTA","ab077","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB07714112","AB07714112","http://datos.infolobby.cl/infolobby/persona/ccf0cb0e36ef6964dcaf176775a1d727","ccf0cb0e36ef6964dcaf176775a1d727","CARLOS GUILLERMO ALVAREZ CHAN","GOBIERNO REGIONAL REGIÓN DE ANTOFAGASTA","ab077","Consejero regional",2014-03-11,2018-04-04
"http://datos.infolobby.cl/infolobby/pasivo/AG0017059","AG0017059","http://datos.infolobby.cl/infolobby/persona/e1ba001e7f627bc1af9d5d420ce8ef1f","e1ba001e7f627bc1af9d5d420ce8ef1f","Osvaldo Soto Valdivia","SUBSECRETARIA GENERAL DE GOBIERNO","ag001","Subsecretario",2015-06-27,2016-07-11
"http://datos.infolobby.cl/infolobby/pasivo/AG00116","AG00116","http://datos.infolobby.cl/infolobby/persona/161f1375b4f1bcb1fc5e4385c0a67c4a","161f1375b4f1bcb1fc5e4385c0a67c4a","Rodolfo Andrés Baier Esteban","SUBSECRETARIA GENERAL DE GOBIERNO","ag001","Subsecretario",2014-03-11,2015-06-27
"http://datos.infolobby.cl/infolobby/pasivo/AK0011063","AK0011063","http://datos.infolobby.cl/infolobby/persona/0b300d166224b9b849a568b2be5081fd","0b300d166224b9b849a568b2be5081fd","Ignacio José Suárez Eytel","SUBSECRETARÍA DE JUSTICIA","ak001","Subsecretario",2015-03-13,2016-10-26
"http://datos.infolobby.cl/infolobby/pasivo/AB093655","AB093655","http://datos.infolobby.cl/infolobby/persona/6c4a51de80a88d38d39062a6655602d6","6c4a51de80a88d38d39062a6655602d6","Antonio Frey Valdés","SUBSECRETARÍA DE PREVENCIÓN DE DELITOS","ab093","Subsecretario",2014-03-11,2016-10-26
"http://datos.infolobby.cl/infolobby/pasivo/AD02268","AD02268","http://datos.infolobby.cl/infolobby/persona/8df8c9a5bb57b53160768e2513f93fde","8df8c9a5bb57b53160768e2513f93fde","Gabriel  Gaspar Tapia","SUBSECRETARIA PARA LAS FUERZAS ARMADAS","ad022","Subsecretario",2014-03-11,2015-10-21
"http://datos.infolobby.cl/infolobby/pasivo/AE0012683","AE0012683","http://datos.infolobby.cl/infolobby/persona/b0d9da0ed70e045d5d26ed8896f7a87d","b0d9da0ed70e045d5d26ed8896f7a87d","Alejandro Javier Micco Aguayo","SUBSECRETARÍA DE HACIENDA","ae001","Subsecretario",2014-03-11,2017-08-31
